-133,-133,-133,-3,171,176
-128,-128,-128,4,173,173
-123,-123,-123,11,190,165
-128,-128,-128,20,211,170
-131,-131,-131,29,223,171
-144,-144,-144,34,230,173
-165,-165,-165,36,228,171
-172,-172,-172,34,214,163
-155,-155,-155,35,197,147
-151,-151,-151,43,179,142
-161,-161,-161,53,165,158
-160,-160,-160,60,149,164
-138,-138,-138,66,123,167
-191,-191,-191,56,96,214
-200,-200,-200,19,79,219
-138,-138,-138,-10,57,178
-131,-131,-131,-13,59,157
-149,-149,-149,-7,46,173
-162,-162,-162,-10,29,202
-134,-134,-134,-31,31,179
-149,-149,-149,-40,41,199
-183,-183,-183,-49,53,209
-181,-181,-181,-70,54,187
-151,-151,-151,-68,54,159
-154,-154,-154,-49,36,198
-183,-183,-183,-46,12,261
-155,-155,-155,-82,-14,274
-143,-143,-143,-121,-67,303
-182,-182,-182,-163,-141,387
-384,-384,-384,-254,-320,511
-877,-877,-877,-318,-614,849
-1042,-1042,-1042,-353,-695,948
-932,-932,-932,-335,-345,901
-448,-448,-448,-357,157,551
-196,-196,-196,-408,624,126
-7,-7,-7,-386,903,-318
81,81,81,-81,1584,-522
129,129,129,267,1999,-237
-696,-696,-696,598,1999,442
-1917,-1917,-1917,721,1999,764
-2000,-2000,-2000,932,1999,1489
-2000,-2000,-2000,1345,1999,1999
-2000,-2000,-2000,1291,1627,1999
-1492,-1492,-1492,623,172,1999
-409,-409,-409,309,6,1349
221,221,221,347,-1756,1991
940,940,940,172,-2000,1715
1422,1422,1422,-71,-1342,1999
-120,-120,-120,-330,-195,1999
-1755,-1755,-1755,-762,514,1999
-2000,-2000,-2000,-1102,799,1999
-2000,-2000,-2000,-1095,1219,1999
-2000,-2000,-2000,-967,1818,1626
-1181,-1181,-1181,-674,1999,706
-675,-675,-675,-381,1999,648
-564,-564,-564,-328,1999,-385
-219,-219,-219,163,1999,-252
-1561,-1561,-1561,763,1999,1163
-2000,-2000,-2000,860,149,1736
-2000,-2000,-2000,1035,-1067,1999
-804,-804,-804,178,-1469,1242
357,357,357,-24,-1424,-217
145,145,145,177,-1177,-92
203,203,203,140,-753,374
778,778,778,-70,-417,533
444,444,444,-324,-202,273
-695,-695,-695,-294,-760,1046
-1062,-1062,-1062,-209,-990,1762
-961,-961,-961,-295,84,1218
-685,-685,-685,-387,703,441
-311,-311,-311,-340,1624,-33
-155,-155,-155,-182,1999,-356
-333,-333,-333,64,1999,-431
-1469,-1469,-1469,569,1999,453
-1943,-1943,-1943,888,1999,1306
-2000,-2000,-2000,1024,1999,1999
-2000,-2000,-2000,807,-276,1999
-897,-897,-897,309,-571,1021
36,36,36,265,-1351,699
-266,-266,-266,308,-2000,862
357,357,357,149,-2000,1145
21,21,21,-61,-1246,1999
-1768,-1768,-1768,-419,-187,1999
-2000,-2000,-2000,-878,402,1999
-2000,-2000,-2000,-909,735,1999
